,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
77370300001,A1997XM46500003,000177115100002,000085981400011,A1977DM46400001,A1995RA00900004,000084849500004,A1987J648900004,,,,,,,,,,,,,,,,,,,,,,,
82372100002,A1996UW48900005,A1989CB85200012,A1995RX35400003,000075118400006,A1995QL47200001,A1996UH44600007,A1981PA76400008,A1971M104800005,,,,,,,,,,,,,,,,,,,,,,
83346800004,A1970F624500013,A1993KR04300005,A1995RT60600002,A1977DM46400001,A1993LU63000007,000071159300007,A1994NM19400014,A1995RA60400031,000080350900001,A1995RT03000006,,,,,,,,,,,,,,,,,,,,
84624500049,000077900200007,000076132400002,000076607500041,A1997YC32300053,A1997WZ38400073,000077436700051,000072282000008,000072366600065,000073628800006,A1989AW83400029,000077099700039,A1994NT76100020,A1995RK68900063,A1995RX01900005,000071696200009,A1997YJ45600066,A1991EY55200034,000079475800017,A1997YE90500014,000077388600003,A1995QN63300006,000079224500064,,,,,,,,
85472300002,A1994ND37800009,A1974U921700011,A1997YJ81300001,000081472600007,A1996TP31500013,A1989T830200001,000076437400026,000073729800011,000071321500008,A1996UZ38000003,000076132400002,000076050100006,A1996UZ38000002,A1997WX20800005,A1997WX20800018,A1994NG28500001,A1973Q419200016,,,,,,,,,,,,,
85472300004,A1997BJ50V00120,A1997BJ50V00022,A1997WE70400001,000071692700008,A1994QA71500008,A1995RZ70200011,A1995BE16B00018,A1993KW56800004,A1996BG91P00024,000075882100467,A1989R447400006,A1995RQ26400005,A1983RS67800001,A1993ML81500002,A1983RM11800012,A1996UZ45700002,A1994NP14100004,A1993MQ73100009,A1995RQ26400008,,,,,,,,,,,
88636500003,A1997BJ30G00078,A1997BJ30G00106,000082663800005,000075882100346,000081058100045,000076990100010,A1997BJ30G00157,000071537700022,A1997BJ30G00021,000071872400003,,,,,,,,,,,,,,,,,,,,
89321500009,A1992HC02900005,A1994BC17T00149,A1995BD71W00113,A1988N601300001,A1989U374600002,,,,,,,,,,,,,,,,,,,,,,,,,
89669700001,000079135500001,A1996UZ38000003,A1989AB89300001,A19679181500004,A1995RV02400009,A1991FF04700001,A1981MT74200012,000079135400001,A1994PU33000012,A1993LG46600004,A1993MU18200015,000079135700001,A1990DR72200005,A1984TQ69500016,,,,,,,,,,,,,,,,
A1985AFZ2900007,A1982PW51300004,A1982QC08600001,A1982NL32300028,A1983QN77100006,A1953UC11200020,A1978ER76900001,,,,,,,,,,,,,,,,,,,,,,,,
A1986F340700014,A1981LN32400002,A1977EE80200003,A1975AV35600011,A1974R968600041,A1973P970900004,A1979JA49300003,A1975AF26500010,A1971K443800001,A1979HS24700007,A1982PJ28100028,A1983QK80600026,,,,,,,,,,,,,,,,,,,
A1991GU89000002,A1977DG96000007,A1983SC59500020,A1978FL45500002,A1983SC59500019,A1988M209000007,A1976CA16900001,A1987F988900001,A1990DG60600012,A1985AFZ2900005,A1990EG24500013,,,,,,,,,,,,,,,,,,,,
A1992HD97700001,A1985AFZ2900007,A19679597000005,A1991FN78900025,A1977DT98200001,A1989T830200001,A1989R697100004,A1991BV17U00042,A1989BP89K00052,A1988Q020300009,A1990EN50000004,A1985AQD1400009,A1981MR99600015,A1987K747600020,,,,,,,,,,,,,,,,,
A1992JQ51100002,A1987G244400053,A1982NL92500006,A1990BT11G00110,A1968B303900013,A1990BT11G00114,A1990BT11G00115,A1988P991600008,A1990DT23100007,,,,,,,,,,,,,,,,,,,,,,
A1993LG46600004,A1992HG43100001,A1992HG43100003,A1991BT13Q00012,A1991BT13Q00010,A1991EW46800004,A1983QL31500013,,,,,,,,,,,,,,,,,,,,,,,,
A1995RX35400003,A1986E327500055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1996UJ31200001,A1995QJ32300003,A1983SC59500020,A1989U605500003,A1988Q348300003,A1994RC21900001,A1992HE40900004,,,,,,,,,,,,,,,,,,,,,,,,
A1996VJ67100006,000181124500008,A1982PS68100039,A1997XV42900030,000181079700088,000179352000003,000166077200013,A1997XQ92200008,A1992HT07500014,000181079700099,A1994NA88600037,000179884800028,000167760800017,A1994MU62700012,A1994BC05L00027,A1982NQ28000006,000166938800058,000179951800003,INE:12169530,000181807800014,000165377300010,000170249100009,000166611200015,A1997WJ04100001,A1983QX73900009,A1989U374600002,A1995QN56700018,,,,
A1996WC05700002,A1993MQ44300003,A1995BC60N00001,A1992BY11K00045,A1990BR67N00032,A1996BF78X00044,A1993MQ44300004,,,,,,,,,,,,,,,,,,,,,,,,
A1997WM88500002,A1991GB96300001,A1989AB03100035,A1983RC16200007,A1988P981800005,A1981MD90500002,A1993KW20500048,A1989AY92400015,A1981MT74200012,A1993KN14900002,A1985AUE7200003,A19643141B00019,A1988P824900002,A1994QA06400001,A1995QU38000008,A1994NZ41100010,A1988Q502300015,A1992JJ88400023,A1986A213300010,,,,,,,,,,,,
A1997XE56500009,A1989AG92200010,A1969E332800010,A1979GL00300001,A1989AN72200002,A1983RD86600044,A1982NG95400006,A1996TV66900004,A1995RJ72800017,A1994NG12400009,A1994NF98200040,A1993KL35600002,A1979GV58800002,,,,,,,,,,,,,,,,,,
168067900002,A1996UZ38000003,A1987J036400007,A1995BD71W00092,A1995QG47900001,A1997BJ30G00030,000088636500003,000074947400006,000071872400003,000071872400004,A1994PG49200007,A1997XQ94100004,A1991FC73500006,,,,,,,,,,,,,,,,,,
168325600008,000088444600002,000073852600040,000084624500049,A1995RT28500002,A1995RU75900034,000080539000003,A1994NC41100017,A1992HT07500014,000077983000062,000079733700008,000084896300074,000077467300031,000084896300080,A1993LQ98500022,,,,,,,,,,,,,,,,
168750700010,A1973Q097000007,000088444600002,000084896300076,000079418800005,A1995RF66500015,000085836000015,000072572100002,000078977500022,000083638600048,A1996VT11900014,A1989AG04000063,A1983PZ89300002,A1995RC35100008,A1981LW77700107,000088958200016,000087833300005,000078344100011,A1997XW31100012,A1996TP36700004,A1996VX69800011,A1996UJ12500019,A1976BU52600022,000078447500021,000081765100059,A1970F961100006,,,,,
171707400005,000166009300009,000077436700051,000165954000006,000086167600030,000083121200061,000166879300002,000079205900009,000167044600001,000165303600004,000075966200007,000169081500034,000081967000093,A1996VX10700028,000166215000006,A1974U703600001,A1997XB75900022,000170521100005,000166807300075,A1997YK36100026,INE:11473023,,,,,,,,,,
172869700002,000084624500049,000076132400002,000076521900008,A1997XZ03400003,000078344100011,A1992KA90300046,000079888500004,A1990CM51300003,000201689500016,A1958WG40900006,000087452200005,000085549200004,,,,,,,,,,,,,,,,,,
